0,1,2,3,4,5,6,7,8,9
Relatório de Consulta de Valor Total de Estoque,,,,,,,,,
25/06/2025 14:34:10,,,,,,,,,
Filtros:,,,,,,,,,
Tipo de estoque: Comercial,,,,,,,,,
Rede: LOJA PRINCIPAL,,,,,,,,,
Loja: LJ-03  SANTA CRUZ,,,,,,,,,
Data: 31/05/2025,,,,,,,,,
Setor de Compra: Todos,,,,,,,,,
Tipo de estoque: Venda,,,,,,,,,
Departamento: Todos,,,,,,,,,
Seção: Todos,,,,,,,,,
Grupo: Todos,,,,,,,,,
Subgrupo: Todos,,,,,,,,,
Agrupar por: Produto,,,,,,,,,
Ordem: Ascendente,,,,,,,,,
Status do Produto: Todos,,,,,,,,,
Tipo de Produto: Venda Insumo Embalagem Consumo Subproduto Produto Acabado,,,,,,,,,
Venda Externa: Todos,,,,,,,,,
Despreza os produtos sem estoque: Sim,,,,,,,,,
Aplicar movimentos extemporâneos: Não,,,,,,,,,
Produto,,,Fornecedor,,,,,,
SAC BANANA PRATA KG,116.0,4.0,ELS,,753.21,6355303.0,6355303.0,478687777263.0,478687777263.0
ESPETO CHURRASCO KIREY C/40UN BAMBU,85.0,7898177790892.0,KIREY FESTA IND.COM.DE ARTIGOS,,50.0,4.06,3021241.0,203.0,15106205.0
FN LIMAO TAHITI kg,108.0,8.0,COSTA MELLO & FILHOS,,118246.0,2590006.0,2590006.0,306257849476.0,306257849476.0
FIGO TURCO SECO KG,197.0,4212.0,GARDEN FRUIT - FRUTA SECA,,0.43,65.0,5719961.0,27.95,245958323.0
FN PERA PORTUGUESA kg,541.0,1026.0,DA FEIRA DSCD - FRUTAS,,85643.0,19381508.0,19381508.0,1659890489644.0,1659890489644.0
SAC MANDIOCA kg,549.0,520.0,DA FEIRA DSCD - LEGUMES,,12.83,1.89,1.89,242487.0,242487.0
FN MEXERICA CARIOCA kg,615.0,26.0,CEASA (SACOLAO),,56175.0,576445.0,576445.0,32381797875.0,32381797875.0
SAC PEPINO COMUM kg,554.0,525.0,DA FEIRA DSCD - LEGUMES,,47106.0,2613867.0,2613867.0,123128818902.0,123128818902.0
MOLHO SALADA CASTELO 236ML CASEIRO,1046.0,7896048282330.0,CASTELO ALIMENTOS S/A,,36.0,6731196.0,6212634.0,242323056.0,223654824.0
LING ROCCA TOSCANA GOMO Kg,1596.0,5569.0,FRIGORIFICO ROCCA LTDA.,,15439.0,19182.0,1747075.0,296150898.0,26973090925.0
BISNAGUITO PULLMAN 300G,1333.0,7896002360234.0,BIMBO DO BRASIL LTDA (MATRIZ),,15.0,75565.0,68794.0,1133475.0,103191.0
CHA YAMAMOTOYAMA PC 200G BAN CHA,1493.0,7898038730029.0,CAMPO VERDE DISTR DE GENEROS ALIMEN LTDA,,24.0,145276.0,13407832.0,3486624.0,321787968.0
MAC MEZZANI 500g UDON 3,1500.0,7896216100206.0,MEZZANI MASSAS ALIMENTICIAS LT,,18.0,8.46,7867834.0,152.28,141621012.0
BISC POLVILHO CASSINI 100G SALGADO PALITO,1541.0,7898416780028.0,CASSINI ALIMENTOS LTDA,,110.0,31252.0,2495768.0,343772.0,27453448.0
OKOSHI HIKAGE 100G,1546.0,7896639800011.0,MH REPRESENTACAO (ARIGATO),,21.0,5558.0,5043885.0,116718.0,105921585.0
BISC POLVILHO CASSINI 100G DOCE,2408.0,7898416780059.0,CASSINI ALIMENTOS LTDA,,45.0,31252.0,2495768.0,140634.0,11230956.0
FN UVA RED GLOBE kg,2157.0,1011.0,"PAULI COMERCIO, IMPO",,18.1,16754522.0,16754522.0,3032568482.0,3032568482.0
PRESUNTO SADIA MAGRO FAT Kg,4070.0,3652.0,BRF SADIA | BALCAO FRIOS,,258529.0,27616241.0,25398301.0,7139599169489.0,6566197359229.0
FN PERA HOSUI kg,2076.0,1139.0,CEASA (FRUTA NOBRE),,29175.0,16.29,16.29,47526075.0,47526075.0
FN CAJAMANGA kg,2087.0,1053.0,CEASA (FRUTA NOBRE),,29432.0,16089006.0,16089006.0,473531624592.0,473531624592.0
SAC FLOR COMESTIVEL 20GR,3204.0,7898910279578.0,RKG COMERCIO DE HORT,,7.0,9787143.0,9787143.0,68510001.0,68510001.0
ROSA NACIONAL VARIADA UN,47941.0,8169.0,HOLAMBRA - COMPRA,,59.0,4.5,408375.0,265.5,24094125.0
LING ROCCA CALABRESA METRO Kg,4197.0,5554.0,FRIGORIFICO ROCCA LTDA.,,4.63,21774.0,198315.0,10081362.0,91819845.0
MOLHO MARUITI 500ML YAKISSOBA,4206.0,7896223200852.0,CAMPO VERDE DISTR DE GENEROS ALIMEN LTDA,,15.0,684375.0,63165.0,10265625.0,947475.0
FURIKAKE TRIANGULO 30g KOZAKANA,3287.0,4901174017459.0,SHIN BUENO COM DE PROD ALIMENT LTDA,,4.0,14.7,1334025.0,58.8,53361.0
CREAM CHEESE DANUBIO 150G LIGHT,5531.0,7896068944362.0,VIGOR ALIMENTOS S.A. - QUEIJOS/VIGOR/DAN,,19.0,10.09,82738.0,191.71,1572022.0
CONS TAKAKI 200G FUKUZINZUKE,4722.0,7896101500128.0,TAKAKI E CIA LTDA,,7.0,1406811.0,12960885.0,9847677.0,90726195.0
SUCO DE SOJA TONYU CX 200ML MORANGO,5473.0,7891156044016.0,YAKULT - LJ 03 LIQUIDA,,6.0,2.9,2.9,17.4,17.4
VINHO NACIONAL AURORA RESERVA 750ML CHARDONNAY,4492.0,7891141017001.0,COOPERATIVA VINICOLA AURORA LTDA,,4.0,30863333.0,25026761.0,123453332.0,100107044.0
MARG QUALY 500G S/SAL,4673.0,7893000383005.0,BRF SADIA | PAS FRIOS,,32.0,6982003.0,6982003.0,223424096.0,223424096.0
LING ROCCA CALABRESA APERITIVO Kg,4985.0,5565.0,FRIGORIFICO ROCCA LTDA.,,5.03,23848.0,217205.0,11995544.0,109254115.0
INSUMO ACAI kg,7272.0,102925.0,,,51035.0,22355364.0,19579873.0,114090600174.0,999258818555.0
CUPIM VACUO Kg,7498.0,5035.0,BRF SADIA - ACOUGUE,,42.43,29907158.0,29907158.0,126896071394.0,126896071394.0
VINHO CHILENO CONCHA Y TORO RESERVADO 750ML CARMENERE,6076.0,7804320116921.0,CASA FLORA LTDA - LATICINIOS,,45.0,19.9,13544438.0,895.5,60949971.0
VELA PRATA VOTIVA S JUDAS TADEU 1UN,19381.0,7896017474094.0,GUANABARA INDUSTRIAS QUIMICAS LTDA,,28.0,5526117.0,4413157.0,154731276.0,123568396.0
VELA PRATA VOTIVA STO EXPEDITO 1UN,19382.0,7896017474063.0,GUANABARA INDUSTRIAS QUIMICAS LTDA,,14.0,549674.0,4389697.0,7695436.0,61455758.0
VINAGRE  PAGANINI 500ML BALSAMICO,19417.0,7898152990392.0,CASA FLORA LTDA - LATICINIOS,,10.0,20416788.0,17231259.0,20416788.0,17231259.0
ESPUMANTE AURORA 750ML MOSCATEL,19811.0,7891141018541.0,COOPERATIVA VINICOLA AURORA LTDA,,12.0,22131321.0,17946113.0,265575852.0,215353356.0
VELA PRATA VOTIVA N.S.APARECIDA 1UN,19373.0,7896017474032.0,GUANABARA INDUSTRIAS QUIMICAS LTDA,,10.0,5481202.0,4377288.0,5481202.0,4377288.0
CONS TAKAKI 300G NABO SUZUKE,8677.0,7896101500210.0,TAKAKI E CIA LTDA,,3.0,14067611.0,12960386.0,42202833.0,38881158.0
CALDO KNORR 57G GALINHA,8520.0,7894000000275.0,E-UB COMERCIO (ALIMENTOS),,7.0,2.02,1503183.0,14.14,10522281.0
CHA LEAO C/10SAQ CX 16G ERVA DOCE,8544.0,7891098001504.0,SDB COMERCIO (DIPALMA NOVO),,14.0,3.6,267894.0,50.4,3750516.0
OLEO LIZA PET 900ML GIRASSOL,9513.0,7896036090602.0,ROMMAC,,25.0,13261429.0,13261429.0,331535725.0,331535725.0
MAC BARILLA 500G SPAGHETTONI 7,8183.0,8076808150072.0,EBD LTDA - MERCEARIA,,30.0,11527365.0,10720492.0,34582095.0,32161476.0
MOLHO KENKO 150ML INGLES,8289.0,7896007811403.0,DISPLOKI LTDA - MERCEARIA,,4.0,3252171.0,2951345.0,13008684.0,1180538.0
MOLHO SHOYU SAKURA 500ML TRAD,9227.0,7896007800001.0,DISPLOKI LTDA - ORIENTAL,,5.0,13040625.0,11834367.0,65203125.0,59171835.0
COCO RALADO DUCOCO 100G SECO,8311.0,7896016600104.0,NEW JUICE - DUCOCO,,2.0,5282917.0,4648935.0,10565834.0,929787.0
TEMP AJINOMOTO 250G AJI SAL,8791.0,7891132081011.0,KOZZY LTDA - MERCEARIA,,15.0,4375417.0,3970691.0,65631255.0,59560365.0
LIMPADOR AJAX 500ML FRESH LEMON,8487.0,7891024120804.0,DISPLOKI LTDA - PERFUMARIA/LIMP,,11.0,7703667.0,6991078.0,84740337.0,76901858.0
CONS TAKAKI 300G TAKENOKO (BROTO DE BAMBU),9166.0,7896101500470.0,TAKAKI E CIA LTDA,,2.0,13449375.0,1234215.0,2689875.0,246843.0
AZEITONA RIVOLI 160G VERDE S/ CAROCO,8805.0,7896183001193.0,NUCLEO - MERCEARIA INDEFINIDA,,29.0,9648865.0,8756346.0,279817085.0,253934034.0
ANTISSEPTICO COLGATE PLAX 250ML FHESH MINT,8808.0,7891024136409.0,DISPLOKI LTDA - PERFUMARIA/LIMP,,2.0,10891667.0,10891667.0,21783334.0,21783334.0
BEB LACTEA BATAVO FERM PENSE ZERO GF 170G MAMAO,8893.0,7891097101618.0,BRASIL FOODS - BATAVO,,10.0,3.22,3.22,32.2,32.2
SUCO CONC MAGUARY 500ML UVA,8821.0,7896000556066.0,SDB COMERCIO (DIPALMA NOVO),,7.0,5.99,4783581.0,41.93,33485067.0
POLPA DM 100G CUPUACU,16595.0,7896519212705.0,DE MARCHI,,70.0,4096472.0,4096472.0,28675304.0,28675304.0
POLPA DM 100G ABACAXI,16596.0,7896519211036.0,DE MARCHI,,35.0,4030305.0,4030305.0,141060675.0,141060675.0
POLPA DM 100G FRUTAS VERMELHAS,16676.0,7896519216505.0,DE MARCHI,,27.0,6299321.0,6299321.0,170081667.0,170081667.0
AMAC BABY SOFT 2L TQ ENVOLVENTE,17042.0,7896075910459.0,SDB COMERCIO (DIPALMA NOVO),,12.0,7009992.0,6361568.0,84119904.0,76338816.0
CAPPUCCINO 3 CORACOES 200G CHOCOLATE,16252.0,7896005802892.0,CAFE TRES  CORACOES S.A,,22.0,17.22,17.22,378.84,378.84
TEMP SAZON 60G FLOPPY BRANCO,16295.0,7891132000449.0,LJ-01 - STO. ANDRE - DEFINIDA,,20.0,4351281.0,3948787.0,8702562.0,7897574.0
CR DENTAL COLGATE 90G TOTAL 12 CLEAN,9896.0,7793100111143.0,SDB COMERCIO (DIPALMA NOVO),,85.0,8.46,8.46,719.1,719.1
REDE PROTETORA P/LAVAR ROUPA TAM GG,17033.0,7898021070033.0,JUNY MERCANTIL LTDA.- ME,,16.0,7.98,7067499.0,127.68,113079984.0
ADOCANTE EM PO LINEA C/50UN CX 40G SUCRALOSE,9999.0,7896001250710.0,GRANADO DISTRIBUIDOR,,26.0,7.96,6356813.0,206.96,165277138.0
AGUA TONICA ANTARCTICA LT 350ML,9947.0,7891991000840.0,AMBEV ATUAL,,46.0,3.39,3076425.0,155.94,14151555.0
VINAGRE CASTELO 750ML ARROZ,11342.0,7896048254016.0,CASTELO ALIMENTOS S/A,,16.0,6782133.0,5723939.0,108514128.0,91583024.0
FARINHA TRIGO DONA BENTA 1KG,10500.0,7896005270622.0,SDB COMERCIO (DIPALMA NOVO),,13.0,4.99,46407.0,64.87,603291.0
DES LEITE DE COLONIA 100ML TRAD,10679.0,7896094924611.0,ROGE - UNILEVER (USAR) NOVA,,1.0,4555.0,4555.0,4555.0,4555.0
DESINF PINHO BRIL 500ML PINHO SILVESTRE,9755.0,7891022080025.0,SDB COMERCIO (DIPALMA NOVO),,21.0,4.19,3117989.0,87.99,65477769.0
DESINF PINHO BRIL 500ML LAVANDA,9757.0,7891022100990.0,SDB COMERCIO (DIPALMA NOVO),,36.0,4.19,3117989.0,150.84,112247604.0
CR BARBEAR BOZZANO 65G PELE SENSIVEL,9847.0,7891350011623.0,PONTUAL - PERF/LIMP,,1.0,7967248.0,7967248.0,7967248.0,7967248.0
AGUA DE COCO DUCOCO CX 200ML,11162.0,7896016601972.0,NEW JUICE - DUCOCO,,159.0,3034444.0,2753758.0,482476596.0,437847522.0
REQUEIJAO CREMOS0 FAZENDA  200G,12556.0,7896229800209.0,LEITE FAZENDA BELA VISTA  - BALCAO/PAS,,24.0,8560492.0,8560492.0,205451808.0,205451808.0
LEITE L V PAULISTA 1L DESNATADO,12216.0,7896294901887.0,DANONE LTDA - MERCEARIA LIQUIDA,,176.0,5990415.0,5990415.0,105431304.0,105431304.0
PROT CAREFREE TODO DIA C/15UN S/PERF,12221.0,7891010087807.0,QUANTUM LTDA PERFUMARIA,,35.0,7.06,640695.0,247.1,22424325.0
VINHO NACIONAL CHALISE 750ML BRANCO SUAVE,12403.0,7896023081545.0,SDB COMERCIO (DIPALMA NOVO),,5.0,119581.0,8138982.0,597905.0,4069491.0
PILHA RAYOVAC ALCALINA PALITO AAA C/ 2UN,13173.0,7896009724015.0,INFOCO - MERCEARIA,,2.0,585125.0,4354208.0,117025.0,8708416.0
LEITE COCO SOCOCO 200ML VD,11517.0,7896004400075.0,SDB COMERCIO (DIPALMA NOVO),,24.0,6880843.0,6244365.0,165140232.0,14986476.0
VINHO COUNTRY WINE 750ML BRANCO SECO,18105.0,7891141016615.0,SDB COMERCIO (DIPALMA NOVO),,19.0,13.42,9133988.0,254.98,173545772.0
AGUA COCO KERO COCO 1L,17734.0,7896828000239.0,SDB COMERCIO (DIPALMA NOVO),,90.0,11483724.0,10421479.0,103353516.0,93793311.0
SH PALMOLIVE NATURALS 350ML CERAMIDAS FORCE,17587.0,7891024174210.0,DISPLOKI LTDA - PERFUMARIA/LIMP,,17.0,854989.0,854989.0,14534813.0,14534813.0
AZEITONA RIVOLI 200G PRETA AZAPA,17790.0,7896183001216.0,NUCLEO - MERCEARIA INDEFINIDA,,24.0,17418713.0,15807482.0,418049112.0,379379568.0
TEMP SAZON 60G FLOPPY MARROM,14873.0,7891132019724.0,KOZZY LTDA - GERAL,,2.0,4347597.0,3945444.0,8695194.0,7890888.0
ATUM COQUEIRO 170G RALADO NATURAL,18886.0,7896009301124.0,CAMIL ALIMENTOS S/A - MERCEARIA,,53.0,7405096.0,6803031.0,392470088.0,360560643.0
