Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9
Relatório de Consulta de Valor Total de Estoque,,,,,,,,,
,,,,,,,,,
25/06/2025 14:34:10,,,,,,,,,
Filtros:,,,,,,,,,
Tipo de estoque: Comercial,,,,,,,,,
Rede: LOJA PRINCIPAL,,,,,,,,,
Loja: LJ-03  SANTA CRUZ,,,,,,,,,
Data: 31/05/2025,,,,,,,,,
Setor de Compra: Todos,,,,,,,,,
Tipo de estoque: Venda,,,,,,,,,
Departamento: Todos,,,,,,,,,
Seção: Todos,,,,,,,,,
Grupo: Todos,,,,,,,,,
Subgrupo: Todos,,,,,,,,,
Agrupar por: Produto,,,,,,,,,
Ordem: Ascendente,,,,,,,,,
Status do Produto: Todos,,,,,,,,,
Tipo de Produto: Venda Insumo Embalagem Consumo Subproduto Produto Acabado ,,,,,,,,,
Venda Externa: Todos,,,,,,,,,
Despreza os produtos sem estoque: Sim,,,,,,,,,
Aplicar movimentos extemporâneos: Não,,,,,,,,,
,,,,,,,,,
Produto,Código Interno,GTIN/PLU,Fornecedor,NCM,Quantidade de Estoque,Custo Bruto (R$),Custo Líquido (R$),Custo Total Bruto (R$),Custo Total Líquido (R$)
SAC BANANA PRATA KG,116,4,ELS,0803.90.00,753.21,6.355303,6.355303,4786.87777263,4786.87777263
ESPETO CHURRASCO KIREY C/40UN BAMBU,85,7898177790892,KIREY FESTA IND.COM.DE ARTIGOS,1401.10.00,50,4.06,3.021241,203,151.06205
FN LIMAO TAHITI kg,108,8,COSTA MELLO & FILHOS,0805.50.00,118.246,2.590006,2.590006,306.257849476,306.257849476
FIGO TURCO SECO KG,197,4212,GARDEN FRUIT - FRUTA SECA,0804.20.20,0.43,65,57.19961,27.95,24.5958323
FN PERA PORTUGUESA kg,541,1026,DA FEIRA DSCD - FRUTAS,0808.30.00,85.643,19.381508,19.381508,1659.890489644,1659.890489644
SAC MANDIOCA kg,549,520,DA FEIRA DSCD - LEGUMES,0714.10.00,12.83,1.89,1.89,24.2487,24.2487
FN MEXERICA CARIOCA kg,615,26,CEASA (SACOLAO),0805.21.00,56.175,5.76445,5.76445,323.81797875,323.81797875
SAC PEPINO COMUM kg,554,525,DA FEIRA DSCD - LEGUMES,0707.00.00,47.106,2.613867,2.613867,123.128818902,123.128818902
MOLHO SALADA CASTELO 236ML CASEIRO,1046,7896048282330,CASTELO ALIMENTOS S/A,2103.90.91,36,6.731196,6.212634,242.323056,223.654824
LING ROCCA TOSCANA GOMO Kg,1596,5569,FRIGORIFICO ROCCA LTDA.,1601.00.00,15.439,19.182,17.47075,296.150898,269.73090925
BISNAGUITO PULLMAN 300G,1333,7896002360234,BIMBO DO BRASIL LTDA (MATRIZ),1905.90.90,15,7.5565,6.8794,113.3475,103.191
CHA YAMAMOTOYAMA PC 200G BAN CHA,1493,7898038730029,CAMPO VERDE DISTR DE GENEROS ALIMEN LTDA,0902.10.00,24,14.5276,13.407832,348.6624,321.787968
MAC MEZZANI 500g UDON 3,1500,7896216100206,MEZZANI MASSAS ALIMENTICIAS LT,1902.19.00,18,8.46,7.867834,152.28,141.621012
BISC POLVILHO CASSINI 100G SALGADO PALITO,1541,7898416780028,CASSINI ALIMENTOS LTDA,1905.90.90,110,3.1252,2.495768,343.772,274.53448
OKOSHI HIKAGE 100G,1546,7896639800011,MH REPRESENTACAO (ARIGATO),1904.10.00,21,5.558,5.043885,116.718,105.921585
BISC POLVILHO CASSINI 100G DOCE,2408,7898416780059,CASSINI ALIMENTOS LTDA,1905.90.90,45,3.1252,2.495768,140.634,112.30956
